Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 All,-0.018431479,0.006215109,0.981737342,0.969850743,0.99377,-0.13905366,0.05467324,0.986190867,0.975679311,0.996816,-0.00013821,0.00073488,0.998232476,0.979997011,1.016807,-0.001448191,0.00078218,0.990630924,0.980808336,1.000552
Age 11-60 Female,-0.019379074,0.008129542,0.980807493,0.965303252,0.996561,-0.08940933,0.07119013,0.991098918,0.977365885,1.005025,-0.000863221,0.000958465,0.98901159,0.965513496,1.013082,-0.001374682,0.001022289,0.991104369,0.978279957,1.004097
Age 11-60 Male,-0.017516814,0.008373011,0.982635713,0.966641182,0.998895,-0.193814052,0.073979005,0.980805207,0.966686253,0.99513,0.000634673,0.000991671,1.008156902,0.98338436,1.033553,-0.001542951,0.00105388,0.990020943,0.976817332,1.003403
Age 60+All,-0.004810813,0.011156391,0.99520074,0.973675358,1.017202,0.12757007,0.09957117,1.012838725,0.993263848,1.032799,-0.001272934,0.001323097,0.983838467,0.951717138,1.017044,-0.001313475,0.001403956,0.991498754,0.973922072,1.009393
Age 60+ Female,0.01466318,0.01441507,1.014771212,0.986501575,1.043851,0.29843438,0.12898081,1.030293217,1.004573626,1.056671,-0.001670317,0.001718283,0.978846876,0.937547045,1.021966,0.001915106,0.001800455,1.01252599,0.989565216,1.03602
Age 60+ Male,-0.03156754,0.01692606,0.968925513,0.937308679,1.001609,-0.1042714,0.1505995,0.989627034,0.960842628,1.019274,-0.000733699,0.001994812,0.990652614,0.942294717,1.041492,-0.005856935,0.002151603,0.962645479,0.936616374,0.989398
All: LAG 3,0.003779378,0.005059223,1.003786529,0.993882092,1.01379,0.0542917,0.04346157,1.005443935,0.996915469,1.014045,0.000492806,0.000602504,1.006327854,0.991230971,1.021655,0.000461224,0.000629448,1.003002454,0.994991374,1.011078
Female,-0.000896899,0.00648898,0.999103503,0.986476969,1.011892,0.08151935,0.05569081,1.008185252,0.997240351,1.01925,-0.000645827,0.000770119,0.991767489,0.972789724,1.011115,0.000407067,0.00080691,1.002649439,0.992394968,1.01301
Male,0.008320237,0.00649841,1.008354946,0.995593092,1.02128,0.02730993,0.05588657,1.002734726,0.99181094,1.013779,0.001617279,0.000776111,1.020916927,1.001230855,1.04099,0.000509161,0.000809061,1.003315029,0.993026538,1.01371
Warm All,0.004775334,0.006295432,1.004786754,0.99246482,1.017262,0.10572306,0.07201669,1.01062839,0.996463304,1.024995,-0.000563049,0.000743959,0.992818881,0.974460328,1.011523,0.0009041,0.000874722,1.005893951,0.99474654,1.017166
Warm Female,-0.008018194,0.008386013,0.992013866,0.975841816,1.008454,0.0763276,0.09592145,1.007661964,0.988894285,1.026786,-0.002301729,0.000987713,0.970967646,0.947202974,0.995329,0.000128977,0.001164855,1.000838702,0.986095669,1.015802
Warm Male,0.017185234,0.008277912,1.01733375,1.000960988,1.033974,0.13397624,0.09486481,1.013487774,0.994817596,1.032508,0.001140411,0.000981045,1.014704321,0.990034789,1.039989,0.001653177,0.001151981,1.010803592,0.996077127,1.025748
Cold All,0.003621949,0.008234431,1.003628516,0.987560483,1.019958,0.02952984,0.05618908,1.002957348,0.99197232,1.014064,0.001786992,0.00099636,1.023137102,0.99787907,1.049034,0.000103312,0.000911824,1.000671754,0.98911457,1.012364
Cold Female,0.01128418,0.01020991,1.011348087,0.991310728,1.03179,0.08359367,0.06970945,1.008394404,0.994710355,1.022267,0.001531799,0.001232384,1.019800507,0.988752707,1.051823,0.000758065,0.001131538,1.004939582,0.990556501,1.019532
Cold Male,-0.004170123,0.01038424,0.99583856,0.975775018,1.016315,-0.02459658,0.07081231,0.997543364,0.983793885,1.011485,0.002043786,0.001260611,1.026505649,0.994549162,1.059489,-0.000572246,0.001148943,0.99628731,0.981810333,1.010978
Age 0-10 All,0.023154048,0.008921796,1.023424184,1.005683418,1.041478,0.1646497,0.07294449,1.016601265,1.002170201,1.03124,0.001242473,0.001071803,1.016030791,0.989074384,1.043722,0.002043902,0.001094984,1.013374006,0.999335488,1.02761
Age 0-10 Female,0.0177954,0.01240473,1.017954682,0.993503324,1.043008,0.20621755,0.10051754,1.020835853,1.000920741,1.041147,-0.001055713,0.001484687,0.986577766,0.950505858,1.024019,0.001669955,0.001522111,1.010913834,0.99149935,1.030708
Age 0-10 Male,0.02715755,0.01089491,1.027529677,1.005820399,1.049708,0.13303494,0.08965827,1.013392379,0.995739575,1.031358,0.002968989,0.001311222,1.038734411,1.005120185,1.073473,0.002324746,0.001337019,1.015225595,0.998079074,1.032667
Age 11-60 All,-0.006963067,0.006205235,0.993061119,0.981056401,1.005213,-0.02225732,0.05450689,0.997776743,0.987173882,1.008493,-0.000180083,0.000736814,0.997697592,0.979424375,1.016312,-0.000337205,0.000775939,0.997810568,0.987995342,1.007723
Age 11-60 Female,-0.014751488,0.008130307,0.985356782,0.969779173,1.001185,-0.005165913,0.07122771,0.999483542,0.985627069,1.013535,-0.001177128,0.000960719,0.985045704,0.961587459,1.009076,-0.000618032,0.001015569,0.99599085,0.983187379,1.008961
Age 11-60 Male,0.001148326,0.008351879,1.001148986,0.984893902,1.017672,-0.04122064,0.07357698,0.99588642,0.981627714,1.010352,0.000870948,0.000996583,1.011210506,0.986241387,1.036812,-5.21E-05,0.001045729,0.999661407,0.986431654,1.013069
Age 60+All,0.002900735,0.011157263,1.002904946,0.981211251,1.025078,0.07130955,0.09910765,1.007156441,0.98778112,1.026912,0.001427297,0.001322409,1.018437308,0.985203367,1.052792,2.55E-05,0.001406272,1.000165764,0.982406451,1.018246
Age 60+ Female,0.01580238,0.01444319,1.015927898,0.987571606,1.045098,0.1443635,0.1281931,1.014541057,0.989367432,1.040355,0.001806657,0.001719611,1.02339467,0.980182607,1.068512,0.001811923,0.001811164,1.011847127,0.988766839,1.035466
Age 60+ Male,-0.01492781,0.01686547,0.985183057,0.953148912,1.018294,-0.03022804,0.15000611,0.99698176,0.968096021,1.026729,0.000911411,0.001986649,1.011734375,0.962544491,1.063438,-0.002489058,0.002140097,0.983951298,0.957486447,1.011148
All: LAG 4,0.014383796,0.005065757,1.014487741,1.00446485,1.024611,0.130399483,0.043411019,1.013125339,1.004541671,1.021782,-0.001162512,0.00060657,0.985230009,0.970350646,1.000338,0.001806661,0.000627554,1.01181252,1.003755292,1.019934
Female,0.009006281,0.006491672,1.00904696,0.996289505,1.021968,0.12497199,0.0557964,1.012575615,1.001562324,1.02371,-0.001785998,0.000773979,0.977398553,0.958602907,0.996563,0.001704698,0.000803504,1.011142154,1.000844252,1.021546
Male,0.019665211,0.006505812,1.019859845,1.006937775,1.032948,0.13533156,0.05561167,1.013625144,1.002636739,1.024734,-0.00054225,0.000782064,0.993083232,0.973788425,1.01276,0.001903119,0.000806924,1.012447102,1.002092247,1.022909
Warm All,0.013085142,0.006291471,1.013171127,1.000754143,1.025742,0.236624088,0.071395066,1.023944585,1.009715871,1.038374,-0.000890639,0.000750804,0.988664557,0.970216196,1.007464,0.001660929,0.000872959,1.010854526,0.999674594,1.022159
Warm Female,0.005268208,0.008347233,1.005282109,0.988968925,1.021864,0.18623,0.09512742,1.01879749,0.999978026,1.037971,-0.001750331,0.000993272,0.977844874,0.953778853,1.002518,0.001223813,0.001157153,1.007986508,0.993235637,1.022956
